# Lambda	ivar
1.5298279187817256	3.321278352722776e-07
1.5298576424139874	3.3094949653707665e-07
1.529887366046249	3.3057987522529563e-07
1.5299170896785108	3.3043316123411245e-07
1.5299468133107725	3.3035729687932384e-07
1.5299765369430343	3.3009655520520847e-07
1.530006260575296	3.2958125757473544e-07
1.5300359842075577	3.292241982833395e-07
1.5300657078398194	3.2903147028138886e-07
1.530095431472081	3.2874558250586845e-07
1.5301251551043429	3.2851992861093446e-07
1.5301548787366044	3.2864096921081277e-07
1.530184602368866	3.296761427972679e-07
1.5302143260011278	3.3203597928695494e-07
1.5302440496333896	3.3338284431503075e-07
1.5302737732656513	3.3193598252692774e-07
1.530303496897913	3.3115683348894237e-07
1.5303332205301747	3.3315202128775807e-07
1.5303629441624365	3.3470929462782743e-07
1.530392667794698	3.3271322967143664e-07
1.53042239142696	3.2929715153683207e-07
1.5304521150592214	3.273823067634406e-07
1.5304818386914834	3.2696089211337707e-07
1.5305115623237449	3.269714852870131e-07
1.5305412859560066	3.2679068228429344e-07
1.5305710095882683	3.265432341360658e-07
1.53060073322053	3.2645614433848603e-07
1.5306304568527918	3.2655048781654515e-07
1.5306601804850535	3.263746084123053e-07
1.530689904117315	3.257420526729425e-07
1.530719627749577	3.2518268997944317e-07
1.5307493513818384	3.250600739769797e-07
1.5307790750141004	3.251965271474204e-07
1.5308087986463619	3.250213309371271e-07
1.5308385222786236	3.245040374730065e-07
1.5308682459108853	3.2422737282643753e-07
1.530897969543147	3.244719740925436e-07
1.5309276931754088	3.248821772922471e-07
1.5309574168076705	3.2484739213008035e-07
1.530987140439932	3.24417704502064e-07
1.531016864072194	3.24166533802995e-07
1.5310465877044555	3.243207873686639e-07
1.5310763113367174	3.2440030999995636e-07
1.531106034968979	3.240283078367933e-07
1.5311357586012408	3.235974044336067e-07
1.5311654822335024	3.234330088811772e-07
